  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.4647   0.00708   0.00220  -0.1021   0.6764   0.7681
   1.000   0.5897   0.00712   0.00230  -0.1040   0.6229   1.0000
   2.000   0.6938   0.00765   0.00251  -0.1024   0.5769   1.0000
   3.000   0.7992   0.00827   0.00287  -0.1011   0.5395   1.0000
   5.000   1.0099   0.00957   0.00396  -0.0987   0.4738   1.0000
   6.000   1.1120   0.01025   0.00463  -0.0971   0.4311   1.0000
   7.000   1.2099   0.01114   0.00546  -0.0948   0.3795   1.0000
   8.000   1.2970   0.01265   0.00671  -0.0909   0.2959   1.0000
   9.000   1.3589   0.01556   0.00898  -0.0833   0.1715   1.0000
  10.000   1.3985   0.01928   0.01222  -0.0727   0.0836   1.0000
