  
       XFOIL         Version 6.99
  
 Calculated polar for: Generated_Airfoil                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2821   0.02043   0.01293  -0.0709   0.8547   0.2901
   1.000   0.3966   0.01882   0.01153  -0.0688   0.8266   0.3311
   2.000   0.5036   0.01636   0.00944  -0.0650   0.7854   0.3748
   3.000   0.6231   0.01257   0.00598  -0.0612   0.6968   0.4546
   4.000   0.7992   0.01475   0.00690  -0.0735   0.3281   1.0000
   5.000   0.8782   0.01665   0.00831  -0.0674   0.2732   1.0000
   6.000   0.9559   0.01817   0.00966  -0.0611   0.2294   1.0000
   7.000   1.0270   0.01994   0.01123  -0.0537   0.1943   1.0000
   8.000   1.0953   0.02192   0.01314  -0.0460   0.1675   1.0000
   9.000   1.1653   0.02427   0.01550  -0.0389   0.1483   1.0000
  10.000   1.2406   0.02691   0.01824  -0.0330   0.1353   1.0000
