  
       XFOIL         Version 6.99
  
 Calculated polar for: Generated_Airfoil                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2898   0.01350   0.00726  -0.0589   0.7032   0.8647
   1.000   0.3692   0.01280   0.00638  -0.0505   0.6790   0.9216
   2.000   0.4739   0.01203   0.00555  -0.0486   0.6559   0.9639
   3.000   0.6044   0.01221   0.00576  -0.0538   0.6302   0.9752
   4.000   0.7346   0.01214   0.00571  -0.0585   0.5958   0.9987
   5.000   0.8391   0.01193   0.00556  -0.0580   0.5265   1.0000
   6.000   0.9026   0.01706   0.00830  -0.0540   0.0583   1.0000
   7.000   0.9845   0.02110   0.01265  -0.0523   0.0300   1.0000
   8.000   1.0301   0.02691   0.01874  -0.0477   0.0254   1.0000
   9.000   1.0935   0.03322   0.02517  -0.0427   0.0252   1.0000
